题材板块,股票名称,股票代码
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",易天股份,sz300812
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",纳睿雷达,sh688522
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",泰凌微,sh688591
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中科微至,sh688211
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",新化股份,sh603867
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",芯海科技,sh688595
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",概伦电子,sh688206
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",晶合集成,sh688249
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",禾川科技,sh688320
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",安路科技,sh688107
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",长盈精密,sz300115
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",新相微,sh688593
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",乾照光电,sz300102
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",超讯通信,sh603322
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",唯捷创芯,sh688153
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",紫光股份,sz000938
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",帝奥微,sh688381
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",和而泰,sz002402
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",汇通能源,sh600605
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",共达电声,sz002655
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",钜泉科技,sh688391
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",晶方科技,sh603005
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",气派科技,sh688216
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",深科技,sz000021
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",士兰微,sh600460
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",上海贝岭,sh600171
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",新雷能,sz300593
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",胜科纳米,sh688757
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",同有科技,sz300302
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",兴森科技,sz002436
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中颖电子,sz300327
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",晶华微,sh688130
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",瑞德智能,sz301135
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",皮阿诺,sz002853
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",天山电子,sz301379
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中电港,sz001287
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",东方中科,sz002819
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",航天智装,sz300455
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",海信视像,sh600060
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",民德电子,sz300656
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",新劲刚,sz300629
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",蓝箭电子,sz301348
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",朗迪集团,sh603726
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",航天发展,sz000547
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",睿能科技,sh603933
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",英集芯,sh688209
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",航天电子,sh600879
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",好上好,sz001298
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",园林股份,sh605303
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",国民技术,sz300077
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",力合微,sh688589
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",锦盛新材,sz300849
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",天德钰,sh688252
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华力创通,sz300045
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",南方精工,sz002553
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",一彬科技,sz001278
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华胜天成,sh600410
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",通业科技,sz300960
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",翔港科技,sh603499
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",先锋电子,sz002767
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",商络电子,sz300975
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",天龙股份,sh603266
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华培动力,sh603121
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",永安行,sh603776
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中国长城,sz000066
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",科德教育,sz300192
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",振芯科技,sz300101
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",电科数字,sh600850
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",必创科技,sz300667
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",奔图科技,sz002180
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",东土科技,sz300353
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",鑫汇科,920267.BJ
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",比依股份,sh603215
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华岭股份,920139.BJ
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",航宇微,sz300053
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",柘中股份,sz002346
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",荣晟环保,sh603165
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",深桑达A,sz000032
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",大胜达,sh603687
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",豪尔赛,sz002963
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",汇成股份,sh688403
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",跃岭股份,sz002725
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",希荻微,sh688173
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",探路者,sz300005
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",山石网科,sh688030
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",大港股份,sz002077
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",电科芯片,sh600877
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",英唐智控,sz300131
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",润欣科技,sz300493
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",海格通信,sz002465
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",万向钱潮,sz000559
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",太龙股份,sz300650
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",明阳智能,sh601615
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",诚邦股份,sh603316
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",航锦科技,sz000818
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",康希通信,sh688653
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",美迪凯,sh688079
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",金信诺,sz300252
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",共进股份,sh603118
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",万润科技,sz002654
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",古鳌科技,sz300551
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",恒合股份,920145.BJ
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",上峰水泥,sz000672
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",崇达技术,sz002815
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",郑中设计,sz002811
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",格科微,sh688728
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",合肥城建,sz002208
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",同兴达,sz002845
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",三安光电,sh600703
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",康达新材,sz002669
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",安凯微,sh688620
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",力源信息,sz300184
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",数字政通,sz300075
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",雷科防务,sz002413
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华天科技,sz002185
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",智光电气,sz002169
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中孚信息,sz300659
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",*ST海钦,sh600753
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",东软载波,sz300183
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",万盛股份,sh603010
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",颀中科技,sh688352
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",飞天诚信,sz300386
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",慧智微,sh688512
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",海特高新,sz002023
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",合力科技,sh603917
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",麦捷科技,sz300319
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",仁东控股,sz002647
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华维设计,920427.BJ
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华灿光电,sz300323
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",青鸟智控,sz002960
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",中京电子,sz002579
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",苏州固锝,sz002079
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",翠微股份,sh603123
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",万通发展,sh600246
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",海陆重工,sz002255
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",金智科技,sz002090
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",兆驰股份,sz002429
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",武汉凡谷,sz002194
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",亚威股份,sz002559
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",农尚环境,sz300536
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",盛路通信,sz002446
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",利尔达,920249.BJ
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",太极实业,sh600667
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",木林森,sz002745
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",合众思壮,sz002383
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",兆日科技,sz300333
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华东重机,sz002685
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",恒实科技,sz300513
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",四维图新,sz002405
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",茂硕电源,sz002660
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",*ST亿通,sz300211
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",聚灿光电,sz300708
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",山高环能,sz000803
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",力合科创,sz002243
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",大唐电信,sh600198
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",鼎信通讯,sh603421
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",上海电气,sh601727
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",国星光电,sz002449
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",北纬科技,sz002148
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",多伦科技,sh603528
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",综艺股份,sh600770
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",盈方微,sz000670
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",经纬辉开,sz300120
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",百利电气,sh600468
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",天融信,sz002212
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华西股份,sz000936
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",嘉欣丝绸,sz002404
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",长荣股份,sz300195
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",飞乐音响,sh600651
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",芯联集成,sh688469
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",远望谷,sz002161
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",合百集团,sz000417
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",金字火腿,sz002515
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",ST信通,sh600289
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",旷达科技,sz002516
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",怡亚通,sz002183
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",华鹏飞,sz300350
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",电子城,sh600658
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",旋极信息,sz300324
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",景兴纸业,sz002067
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",波导股份,sh600130
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",海宁皮城,sz002344
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",飞利信,sz300287
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",龙腾光电,sh688055
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",ST亚光,sz300123
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",*ST康佳A,sz000016
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",盈新发展,sz000620
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",*ST东智,sz002175
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",安控科技,sz300370
"半导体芯片

涨跌幅+1.98%
净流入79.19亿",*ST中岩,sz002542
"半导体

涨跌幅+3.38%
净流入58.25亿",寒武纪,sh688256
"半导体

涨跌幅+3.38%
净流入58.25亿",源杰科技,sh688498
"半导体

涨跌幅+3.38%
净流入58.25亿",沐曦股份,sh688802
"半导体

涨跌幅+3.38%
净流入58.25亿",摩尔线程,sh688795
"半导体

涨跌幅+3.38%
净流入58.25亿",北方华创,sz002371
"半导体

涨跌幅+3.38%
净流入58.25亿",拓荆科技,sh688072
"半导体

涨跌幅+3.38%
净流入58.25亿",强一股份,sh688809
"半导体

涨跌幅+3.38%
净流入58.25亿",江波龙,sz301308
"半导体

涨跌幅+3.38%
净流入58.25亿",中微公司,sh688012
"半导体

涨跌幅+3.38%
净流入58.25亿",炬光科技,sh688167
"半导体

涨跌幅+3.38%
净流入58.25亿",优迅股份,sh688807
"半导体

涨跌幅+3.38%
净流入58.25亿",长光华芯,sh688048
"半导体

涨跌幅+3.38%
净流入58.25亿",华峰测控,sh688200
"半导体

涨跌幅+3.38%
净流入58.25亿",恒运昌,sh688785
"半导体

涨跌幅+3.38%
净流入58.25亿",盛科通信,sh688702
"半导体

涨跌幅+3.38%
净流入58.25亿",兆易创新,sh603986
"半导体

涨跌幅+3.38%
净流入58.25亿",矽电股份,sz301629
"半导体

涨跌幅+3.38%
净流入58.25亿",海光信息,sh688041
"半导体

涨跌幅+3.38%
净流入58.25亿",芯原股份,sh688521
"半导体

涨跌幅+3.38%
净流入58.25亿",普冉股份,sh688766
"半导体

涨跌幅+3.38%
净流入58.25亿",思瑞浦,sh688536
"半导体

涨跌幅+3.38%
净流入58.25亿",佰维存储,sh688525
"半导体

涨跌幅+3.38%
净流入58.25亿",金海通,sh603061
"半导体

涨跌幅+3.38%
净流入58.25亿",芯源微,sh688037
"半导体

涨跌幅+3.38%
净流入58.25亿",纳芯微,sh688052
"半导体

涨跌幅+3.38%
净流入58.25亿",峰岹科技,sh688279
